Potential Energy , -285.757 , Kinetic Energy , 144.54 , Total Energy , -141.217, Delta Energy , 0, Time , 0, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.194 , Kinetic Energy , 143.977 , Total Energy , -141.217, Delta Energy , 2.77424e-09, Time , 16, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.165 , Kinetic Energy , 143.948 , Total Energy , -141.217, Delta Energy , 2.79172e-09, Time , 16.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.135 , Kinetic Energy , 143.918 , Total Energy , -141.217, Delta Energy , 2.80585e-09, Time , 17, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.105 , Kinetic Energy , 143.888 , Total Energy , -141.217, Delta Energy , 2.8173e-09, Time , 17.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.074 , Kinetic Energy , 143.858 , Total Energy , -141.217, Delta Energy , 2.82634e-09, Time , 18, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.044 , Kinetic Energy , 143.827 , Total Energy , -141.217, Delta Energy , 2.83325e-09, Time , 18.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.013 , Kinetic Energy , 143.796 , Total Energy , -141.217, Delta Energy , 2.83831e-09, Time , 19, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.982 , Kinetic Energy , 143.765 , Total Energy , -141.217, Delta Energy , 2.84186e-09, Time , 19.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.95 , Kinetic Energy , 143.734 , Total Energy , -141.217, Delta Energy , 2.84405e-09, Time , 20, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.919 , Kinetic Energy , 143.702 , Total Energy , -141.217, Delta Energy , 2.84527e-09, Time , 20.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.887 , Kinetic Energy , 143.67 , Total Energy , -141.217, Delta Energy , 2.84552e-09, Time , 21, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.855 , Kinetic Energy , 143.638 , Total Energy , -141.217, Delta Energy , 2.84513e-09, Time , 21.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.823 , Kinetic Energy , 143.606 , Total Energy , -141.217, Delta Energy , 2.84413e-09, Time , 22, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.791 , Kinetic Energy , 143.574 , Total Energy , -141.217, Delta Energy , 2.8426e-09, Time , 22.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.758 , Kinetic Energy , 143.542 , Total Energy , -141.217, Delta Energy , 2.84081e-09, Time , 23, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.726 , Kinetic Energy , 143.509 , Total Energy , -141.217, Delta Energy , 2.83868e-09, Time , 23.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.694 , Kinetic Energy , 143.477 , Total Energy , -141.217, Delta Energy , 2.83637e-09, Time , 24, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.661 , Kinetic Energy , 143.444 , Total Energy , -141.217, Delta Energy , 2.83387e-09, Time , 24.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.628 , Kinetic Energy , 143.412 , Total Energy , -141.217, Delta Energy , 2.83157e-09, Time , 25, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.596 , Kinetic Energy , 143.379 , Total Energy , -141.217, Delta Energy , 2.82904e-09, Time , 25.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.563 , Kinetic Energy , 143.346 , Total Energy , -141.217, Delta Energy , 2.82637e-09, Time , 26, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.53 , Kinetic Energy , 143.313 , Total Energy , -141.217, Delta Energy , 2.82375e-09, Time , 26.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.497 , Kinetic Energy , 143.281 , Total Energy , -141.217, Delta Energy , 2.82137e-09, Time , 27, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.465 , Kinetic Energy , 143.248 , Total Energy , -141.217, Delta Energy , 2.81906e-09, Time , 27.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.432 , Kinetic Energy , 143.215 , Total Energy , -141.217, Delta Energy , 2.81665e-09, Time , 28, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.399 , Kinetic Energy , 143.182 , Total Energy , -141.217, Delta Energy , 2.81455e-09, Time , 28.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.366 , Kinetic Energy , 143.15 , Total Energy , -141.217, Delta Energy , 2.81241e-09, Time , 29, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.334 , Kinetic Energy , 143.117 , Total Energy , -141.217, Delta Energy , 2.81051e-09, Time , 29.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.301 , Kinetic Energy , 143.084 , Total Energy , -141.217, Delta Energy , 2.80866e-09, Time , 30, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.268 , Kinetic Energy , 143.052 , Total Energy , -141.217, Delta Energy , 2.80698e-09, Time , 30.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.236 , Kinetic Energy , 143.019 , Total Energy , -141.217, Delta Energy , 2.80545e-09, Time , 31, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.203 , Kinetic Energy , 142.987 , Total Energy , -141.217, Delta Energy , 2.80389e-09, Time , 31.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.171 , Kinetic Energy , 142.954 , Total Energy , -141.217, Delta Energy , 2.80255e-09, Time , 32, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.138 , Kinetic Energy , 142.922 , Total Energy , -141.217, Delta Energy , 2.80139e-09, Time , 32.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.106 , Kinetic Energy , 142.89 , Total Energy , -141.217, Delta Energy , 2.80014e-09, Time , 33, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.074 , Kinetic Energy , 142.857 , Total Energy , -141.217, Delta Energy , 2.79937e-09, Time , 33.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.042 , Kinetic Energy , 142.825 , Total Energy , -141.217, Delta Energy , 2.79834e-09, Time , 34, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -284.01 , Kinetic Energy , 142.793 , Total Energy , -141.217, Delta Energy , 2.79761e-09, Time , 34.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.978 , Kinetic Energy , 142.762 , Total Energy , -141.217, Delta Energy , 2.79687e-09, Time , 35, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.947 , Kinetic Energy , 142.73 , Total Energy , -141.217, Delta Energy , 2.79633e-09, Time , 35.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.915 , Kinetic Energy , 142.698 , Total Energy , -141.217, Delta Energy , 2.7957e-09, Time , 36, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.884 , Kinetic Energy , 142.667 , Total Energy , -141.217, Delta Energy , 2.79525e-09, Time , 36.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.852 , Kinetic Energy , 142.636 , Total Energy , -141.217, Delta Energy , 2.79482e-09, Time , 37, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.821 , Kinetic Energy , 142.604 , Total Energy , -141.217, Delta Energy , 2.79445e-09, Time , 37.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.79 , Kinetic Energy , 142.573 , Total Energy , -141.217, Delta Energy , 2.79411e-09, Time , 38, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.759 , Kinetic Energy , 142.543 , Total Energy , -141.217, Delta Energy , 2.79391e-09, Time , 38.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.728 , Kinetic Energy , 142.512 , Total Energy , -141.217, Delta Energy , 2.79368e-09, Time , 39, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.698 , Kinetic Energy , 142.481 , Total Energy , -141.217, Delta Energy , 2.79357e-09, Time , 39.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.667 , Kinetic Energy , 142.451 , Total Energy , -141.217, Delta Energy , 2.79334e-09, Time , 40, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.637 , Kinetic Energy , 142.421 , Total Energy , -141.217, Delta Energy , 2.79326e-09, Time , 40.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.607 , Kinetic Energy , 142.391 , Total Energy , -141.217, Delta Energy , 2.7932e-09, Time , 41, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.577 , Kinetic Energy , 142.361 , Total Energy , -141.217, Delta Energy , 2.793e-09, Time , 41.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.547 , Kinetic Energy , 142.331 , Total Energy , -141.217, Delta Energy , 2.79294e-09, Time , 42, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.518 , Kinetic Energy , 142.301 , Total Energy , -141.217, Delta Energy , 2.79255e-09, Time , 42.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.488 , Kinetic Energy , 142.272 , Total Energy , -141.217, Delta Energy , 2.79249e-09, Time , 43, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.459 , Kinetic Energy , 142.243 , Total Energy , -141.217, Delta Energy , 2.79215e-09, Time , 43.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.43 , Kinetic Energy , 142.213 , Total Energy , -141.217, Delta Energy , 2.79167e-09, Time , 44, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.401 , Kinetic Energy , 142.184 , Total Energy , -141.217, Delta Energy , 2.79127e-09, Time , 44.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.372 , Kinetic Energy , 142.156 , Total Energy , -141.217, Delta Energy , 2.79064e-09, Time , 45, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.344 , Kinetic Energy , 142.127 , Total Energy , -141.217, Delta Energy , 2.79005e-09, Time , 45.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.315 , Kinetic Energy , 142.099 , Total Energy , -141.217, Delta Energy , 2.78919e-09, Time , 46, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.287 , Kinetic Energy , 142.07 , Total Energy , -141.217, Delta Energy , 2.78825e-09, Time , 46.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.259 , Kinetic Energy , 142.042 , Total Energy , -141.217, Delta Energy , 2.78712e-09, Time , 47, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.231 , Kinetic Energy , 142.014 , Total Energy , -141.217, Delta Energy , 2.7859e-09, Time , 47.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.203 , Kinetic Energy , 141.986 , Total Energy , -141.217, Delta Energy , 2.78439e-09, Time , 48, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.175 , Kinetic Energy , 141.958 , Total Energy , -141.217, Delta Energy , 2.78268e-09, Time , 48.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.147 , Kinetic Energy , 141.93 , Total Energy , -141.217, Delta Energy , 2.78058e-09, Time , 49, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.119 , Kinetic Energy , 141.903 , Total Energy , -141.217, Delta Energy , 2.77831e-09, Time , 49.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.092 , Kinetic Energy , 141.875 , Total Energy , -141.217, Delta Energy , 2.77569e-09, Time , 50, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.064 , Kinetic Energy , 141.848 , Total Energy , -141.217, Delta Energy , 2.77277e-09, Time , 50.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.037 , Kinetic Energy , 141.82 , Total Energy , -141.217, Delta Energy , 2.76944e-09, Time , 51, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -283.01 , Kinetic Energy , 141.793 , Total Energy , -141.217, Delta Energy , 2.76577e-09, Time , 51.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.983 , Kinetic Energy , 141.766 , Total Energy , -141.217, Delta Energy , 2.76165e-09, Time , 52, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.955 , Kinetic Energy , 141.739 , Total Energy , -141.217, Delta Energy , 2.75708e-09, Time , 52.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.928 , Kinetic Energy , 141.712 , Total Energy , -141.217, Delta Energy , 2.75213e-09, Time , 53, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.901 , Kinetic Energy , 141.684 , Total Energy , -141.217, Delta Energy , 2.74665e-09, Time , 53.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.874 , Kinetic Energy , 141.657 , Total Energy , -141.217, Delta Energy , 2.74088e-09, Time , 54, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.847 , Kinetic Energy , 141.63 , Total Energy , -141.217, Delta Energy , 2.73428e-09, Time , 54.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.82 , Kinetic Energy , 141.603 , Total Energy , -141.217, Delta Energy , 2.72738e-09, Time , 55, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.792 , Kinetic Energy , 141.576 , Total Energy , -141.217, Delta Energy , 2.71987e-09, Time , 55.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.765 , Kinetic Energy , 141.548 , Total Energy , -141.217, Delta Energy , 2.71183e-09, Time , 56, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.738 , Kinetic Energy , 141.521 , Total Energy , -141.217, Delta Energy , 2.70322e-09, Time , 56.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.71 , Kinetic Energy , 141.493 , Total Energy , -141.217, Delta Energy , 2.69409e-09, Time , 57, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.682 , Kinetic Energy , 141.466 , Total Energy , -141.217, Delta Energy , 2.68443e-09, Time , 57.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.655 , Kinetic Energy , 141.438 , Total Energy , -141.217, Delta Energy , 2.67426e-09, Time , 58, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.627 , Kinetic Energy , 141.41 , Total Energy , -141.217, Delta Energy , 2.66374e-09, Time , 58.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.599 , Kinetic Energy , 141.382 , Total Energy , -141.217, Delta Energy , 2.65254e-09, Time , 59, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.57 , Kinetic Energy , 141.354 , Total Energy , -141.217, Delta Energy , 2.64086e-09, Time , 59.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.542 , Kinetic Energy , 141.325 , Total Energy , -141.217, Delta Energy , 2.62875e-09, Time , 60, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.513 , Kinetic Energy , 141.296 , Total Energy , -141.217, Delta Energy , 2.61645e-09, Time , 60.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.484 , Kinetic Energy , 141.267 , Total Energy , -141.217, Delta Energy , 2.60374e-09, Time , 61, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.455 , Kinetic Energy , 141.238 , Total Energy , -141.217, Delta Energy , 2.5907e-09, Time , 61.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.425 , Kinetic Energy , 141.208 , Total Energy , -141.217, Delta Energy , 2.57737e-09, Time , 62, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.395 , Kinetic Energy , 141.178 , Total Energy , -141.217, Delta Energy , 2.56395e-09, Time , 62.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.365 , Kinetic Energy , 141.148 , Total Energy , -141.217, Delta Energy , 2.55062e-09, Time , 63, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.334 , Kinetic Energy , 141.117 , Total Energy , -141.217, Delta Energy , 2.53723e-09, Time , 63.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.303 , Kinetic Energy , 141.086 , Total Energy , -141.217, Delta Energy , 2.52396e-09, Time , 64, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.271 , Kinetic Energy , 141.055 , Total Energy , -141.217, Delta Energy , 2.51103e-09, Time , 64.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.24 , Kinetic Energy , 141.023 , Total Energy , -141.217, Delta Energy , 2.49835e-09, Time , 65, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.207 , Kinetic Energy , 140.991 , Total Energy , -141.217, Delta Energy , 2.48599e-09, Time , 65.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.174 , Kinetic Energy , 140.958 , Total Energy , -141.217, Delta Energy , 2.4742e-09, Time , 66, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.141 , Kinetic Energy , 140.925 , Total Energy , -141.217, Delta Energy , 2.46294e-09, Time , 66.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.108 , Kinetic Energy , 140.891 , Total Energy , -141.217, Delta Energy , 2.45242e-09, Time , 67, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.073 , Kinetic Energy , 140.857 , Total Energy , -141.217, Delta Energy , 2.44282e-09, Time , 67.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.039 , Kinetic Energy , 140.822 , Total Energy , -141.217, Delta Energy , 2.43381e-09, Time , 68, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.003 , Kinetic Energy , 140.787 , Total Energy , -141.217, Delta Energy , 2.42605e-09, Time , 68.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.968 , Kinetic Energy , 140.751 , Total Energy , -141.217, Delta Energy , 2.41923e-09, Time , 69, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.931 , Kinetic Energy , 140.715 , Total Energy , -141.217, Delta Energy , 2.41354e-09, Time , 69.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.895 , Kinetic Energy , 140.678 , Total Energy , -141.217, Delta Energy , 2.40905e-09, Time , 70, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.857 , Kinetic Energy , 140.641 , Total Energy , -141.217, Delta Energy , 2.40564e-09, Time , 70.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.82 , Kinetic Energy , 140.603 , Total Energy , -141.217, Delta Energy , 2.40348e-09, Time , 71, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.781 , Kinetic Energy , 140.564 , Total Energy , -141.217, Delta Energy , 2.40266e-09, Time , 71.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.742 , Kinetic Energy , 140.526 , Total Energy , -141.217, Delta Energy , 2.40317e-09, Time , 72, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.703 , Kinetic Energy , 140.486 , Total Energy , -141.217, Delta Energy , 2.40487e-09, Time , 72.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.663 , Kinetic Energy , 140.446 , Total Energy , -141.217, Delta Energy , 2.40766e-09, Time , 73, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.622 , Kinetic Energy , 140.406 , Total Energy , -141.217, Delta Energy , 2.4117e-09, Time , 73.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.581 , Kinetic Energy , 140.364 , Total Energy , -141.217, Delta Energy , 2.41698e-09, Time , 74, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.54 , Kinetic Energy , 140.323 , Total Energy , -141.217, Delta Energy , 2.42352e-09, Time , 74.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.498 , Kinetic Energy , 140.281 , Total Energy , -141.217, Delta Energy , 2.43111e-09, Time , 75, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.455 , Kinetic Energy , 140.238 , Total Energy , -141.217, Delta Energy , 2.43938e-09, Time , 75.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.412 , Kinetic Energy , 140.195 , Total Energy , -141.217, Delta Energy , 2.44876e-09, Time , 76, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.368 , Kinetic Energy , 140.152 , Total Energy , -141.217, Delta Energy , 2.4589e-09, Time , 76.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.325 , Kinetic Energy , 140.108 , Total Energy , -141.217, Delta Energy , 2.46976e-09, Time , 77, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.28 , Kinetic Energy , 140.064 , Total Energy , -141.217, Delta Energy , 2.48133e-09, Time , 77.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.235 , Kinetic Energy , 140.019 , Total Energy , -141.217, Delta Energy , 2.49324e-09, Time , 78, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.19 , Kinetic Energy , 139.974 , Total Energy , -141.217, Delta Energy , 2.50571e-09, Time , 78.5, Angular Momentum , 0.000000,0.000000,-95068.800000
